State,County,Year,LabourForce,Employed,Unemployed
Alabama,Cherokee,2016,11382,10808,574
Georgia,Cherokee,2016,125693,120346,5347
Iowa,Cherokee,2016,6303,6074,229
Kansas,Cherokee,2016,10278,9822,456
North Carolina,Cherokee,2016,11146,10514,632
Oklahoma,Cherokee,2016,19302,18242,1060
South Carolina,Cherokee,2016,23572,22159,1413
Texas,Cherokee,2016,21190,20115,1075
Nebraska,Cherry,2016,3467,3389,78
Virginia,Chesapeake city,2016,117782,112696,5086
New Hampshire,Cheshire,2016,41402,40269,1133
Pennsylvania,Chester,2016,280252,269412,10840
South Carolina,Chester,2016,13415,12446,969
Tennessee,Chester,2016,8415,7997,418
South Carolina,Chesterfield,2016,21670,20585,1085
Virginia,Chesterfield,2016,180485,173447,7038
Colorado,Cheyenne,2016,1080,1056,24
Kansas,Cheyenne,2016,1342,1305,37
Nebraska,Cheyenne,2016,5445,5292,153
Iowa,Chickasaw,2016,6408,6124,284
Mississippi,Chickasaw,2016,7097,6633,464
Arkansas,Chicot,2016,3577,3342,235
Texas,Childress,2016,2958,2870,88
Alabama,Chilton,2016,19266,18213,1053
Michigan,Chippewa,2016,16383,15126,1257
Minnesota,Chippewa,2016,6989,6675,314
Wisconsin,Chippewa,2016,33414,31993,1421
Minnesota,Chisago,2016,29245,27983,1262
Vermont,Chittenden,2016,95230,92854,2376
Alabama,Choctaw,2016,4344,3976,368
Mississippi,Choctaw,2016,3729,3519,210
Oklahoma,Choctaw,2016,5760,5321,439
Montana,Chouteau,2016,2516,2422,94
North Carolina,Chowan,2016,5602,5244,358
Illinois,Christian,2016,15291,14315,976
Kentucky,Christian,2016,24890,23351,1539
Missouri,Christian,2016,43426,41721,1705
Nevada,Churchill,2016,10385,9810,575
Puerto Rico,Ciales Municipio,2016,3839,3220,619
New Mexico,Cibola,2016,9300,8546,754
Puerto Rico,Cidra Municipio,2016,15580,13986,1594
Oklahoma,Cimarron,2016,1417,1382,35
Florida,Citrus,2016,47749,44552,3197
Oregon,Clackamas,2016,212633,203367,9266
Mississippi,Claiborne,2016,3093,2743,350
Tennessee,Claiborne,2016,12652,11867,785
Louisiana,Claiborne Parish,2016,5950,5553,397
Washington,Clallam,2016,27270,25193,2077
Michigan,Clare,2016,11951,11077,874
South Carolina,Clarendon,2016,12741,11888,853
Pennsylvania,Clarion,2016,18020,16913,1107
Arkansas,Clark,2016,9557,9144,413
Idaho,Clark,2016,394,381,13
Illinois,Clark,2016,8162,7687,475
Indiana,Clark,2016,60529,58008,2521
Kansas,Clark,2016,1115,1084,31
Kentucky,Clark,2016,17018,16194,824
Missouri,Clark,2016,3375,3127,248
Nevada,Clark,2016,1048544,987517,61027
Ohio,Clark,2016,63553,60203,3350
South Dakota,Clark,2016,1920,1845,75
Washington,Clark,2016,220404,206972,13432
Wisconsin,Clark,2016,17558,16873,685
Alabama,Clarke,2016,7985,7121,864
Georgia,Clarke,2016,58666,55434,3232
Iowa,Clarke,2016,4817,4655,162
Mississippi,Clarke,2016,6080,5670,410
Virginia,Clarke,2016,7424,7156,268
Oregon,Clatsop,2016,19017,18120,897
Alabama,Clay,2016,5648,5314,334
Arkansas,Clay,2016,6028,5688,340
Florida,Clay,2016,100841,96324,4517
Georgia,Clay,2016,882,790,92
Iowa,Clay,2016,8695,8360,335
Illinois,Clay,2016,6705,6247,458
Indiana,Clay,2016,12384,11806,578
Kansas,Clay,2016,4030,3866,164
Kentucky,Clay,2016,5454,4898,556
Minnesota,Clay,2016,35734,34508,1226
Missouri,Clay,2016,134218,128981,5237
Mississippi,Clay,2016,8024,7375,649
North Carolina,Clay,2016,4051,3830,221
Nebraska,Clay,2016,3318,3215,103
South Dakota,Clay,2016,6986,6777,209
Tennessee,Clay,2016,3031,2833,198
Texas,Clay,2016,4793,4584,209
West Virginia,Clay,2016,3258,2920,338
Georgia,Clayton,2016,130556,121941,8615
Iowa,Clayton,2016,10273,9837,436
Colorado,Clear Creek,2016,5681,5500,181
Pennsylvania,Clearfield,2016,36293,33655,2638
Idaho,Clearwater,2016,3055,2832,223
Minnesota,Clearwater,2016,4731,4278,453
Alabama,Cleburne,2016,5810,5464,346
Arkansas,Cleburne,2016,9469,8907,562
Ohio,Clermont,2016,103866,99226,4640
Arkansas,Cleveland,2016,3338,3188,150
North Carolina,Cleveland,2016,46815,44259,2556
Oklahoma,Cleveland,2016,139263,133954,5309
Georgia,Clinch,2016,2765,2595,170
Iowa,Clinton,2016,23751,22578,1173
Illinois,Clinton,2016,20450,19537,913
Indiana,Clinton,2016,17150,16484,666
Kentucky,Clinton,2016,3750,3466,284
Michigan,Clinton,2016,40488,38993,1495
Missouri,Clinton,2016,11029,10563,466
New York,Clinton,2016,35795,33877,1918
Ohio,Clinton,2016,17163,16158,1005
Pennsylvania,Clinton,2016,18547,17238,1309
Kansas,Cloud,2016,4252,4077,175
Mississippi,Coahoma,2016,9222,8424,798
Oklahoma,Coal,2016,2323,2153,170
Puerto Rico,Coamo Municipio,2016,10868,8903,1965
Georgia,Cobb,2016,409444,390646,18798
Arizona,Cochise,2016,49528,46452,3076
Texas,Cochran,2016,1174,1114,60
Tennessee,Cocke,2016,14398,13491,907
Arizona,Coconino,2016,74081,69639,4442
South Dakota,Codington,2016,15205,14737,468
Alabama,Coffee,2016,20684,19474,1210
Georgia,Coffee,2016,18057,17008,1049
