SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,25,17,Massachusetts,Middlesex County,2016,1594664,779736,814928,620701,650581,44606,46488,2051,1963,93460,97033,524,525,18394,18338,637794,667535,52181,54217,5292,5238,102875,106280,1354,1351,716582,753394,567470,599090,39807,41413,917,966,92711,96246,228,219,15449,15460,581831,613386,45445,47208,3317,3469,101471,104882,900,916,63154,61534,53231,51491,4799,5075,1134,997,749,787,296,306,2945,2878,55963,54149,6736,7009,1975,1769,1404,1398,454,435
50,25,19,Massachusetts,Nantucket County,2016,11100,5664,5436,4801,4724,634,498,25,14,83,106,1,3,120,91,4909,4809,700,549,60,38,110,121,5,11,4875,4759,4100,4104,586,459,11,4,74,105,1,3,103,84,4193,4183,644,505,40,26,98,119,3,11,789,677,701,620,48,39,14,10,9,1,0,0,17,7,716,626,56,44,20,12,12,2,2,0
50,25,21,Massachusetts,Norfolk County,2016,697079,334698,362381,266718,288005,24304,26084,668,730,36207,40438,153,164,6648,6960,272739,294281,27075,29039,1857,1977,39599,43977,460,495,319849,347168,255061,276214,22358,23982,412,443,36020,40203,104,113,5894,6213,260410,281832,24662,26445,1406,1499,39238,43582,352,398,14849,15213,11657,11791,1946,2102,256,287,187,235,49,51,754,747,12329,12449,2413,2594,451,478,361,395,108,97
50,25,23,Massachusetts,Plymouth County,2016,512207,248865,263342,212742,225153,26835,27950,797,810,3360,4246,364,291,4767,4892,216936,229429,29603,30858,2078,2123,4673,5559,641,583,238997,253950,205552,218317,25156,26289,564,603,3296,4168,211,249,4218,4324,209252,222082,27539,28785,1689,1757,4536,5422,455,508,9868,9392,7190,6836,1679,1661,233,207,64,78,153,42,549,568,7684,7347,2064,2073,389,366,137,137,186,75
50,25,25,Massachusetts,Suffolk County,2016,792576,383435,409141,241355,247935,92065,105981,2995,2899,33441,38052,640,705,12939,13569,252110,259076,100779,115134,6593,6662,36983,41870,1464,1598,294081,319004,176772,184073,76251,88178,744,821,32768,37373,213,277,7333,8282,182733,190749,80486,93064,2543,2901,35552,40469,717,874,89354,90137,64583,63862,15814,17803,2251,2078,673,679,427,428,5606,5287,69377,68327,20293,22070,4050,3761,1431,1401,747,724
50,25,27,Massachusetts,Worcester County,2016,820320,404481,415839,350188,361805,23569,22180,1609,1561,20184,21114,270,300,8661,8879,358322,370102,28334,27112,3795,3824,22749,23760,604,627,359058,370148,312696,324038,18879,17472,753,674,19895,20813,112,137,6723,7014,319003,330590,22243,21040,2353,2400,22239,23239,372,389,45423,45691,37492,37767,4690,4708,856,887,289,301,158,163,1938,1865,39319,39512,6091,6072,1442,1424,510,521,232,238
50,26,1,Michigan,Alcona County,2016,10360,5219,5141,5107,4991,16,25,34,37,8,25,1,2,53,61,5158,5048,33,46,63,73,17,35,3,3,5150,5063,5039,4919,16,24,33,34,8,25,1,2,53,59,5090,4974,33,45,62,69,17,34,3,3,69,78,68,72,0,1,1,3,0,0,0,0,0,2,68,74,0,1,1,4,0,1,0,0
50,26,3,Michigan,Alger County,2016,9129,5032,4097,4024,3697,659,16,207,203,21,19,0,1,121,161,4142,3852,689,61,286,314,36,33,2,2,4952,4035,3966,3653,653,12,196,197,21,18,0,0,116,155,4079,3802,680,54,272,306,36,31,2,1,80,62,58,44,6,4,11,6,0,1,0,1,5,6,63,50,9,7,14,8,0,2,0,1
50,26,5,Michigan,Allegan County,2016,114979,57365,57614,54669,54820,867,827,440,414,383,513,15,21,991,1019,55621,55784,1318,1287,859,889,540,677,46,45,53066,53523,50781,51131,768,723,328,302,332,474,8,15,849,878,51594,51963,1158,1132,668,683,481,629,38,35,4299,4091,3888,3689,99,104,112,112,51,39,7,6,142,141,4027,3821,160,155,191,206,59,48,8,10
50,26,7,Michigan,Alpena County,2016,28663,14102,14561,13676,14170,68,52,79,92,91,87,10,8,178,152,13847,14314,138,115,168,172,117,107,14,10,13886,14391,13482,14009,66,52,73,87,87,87,7,7,171,149,13647,14150,131,113,159,166,113,107,11,9,216,170,194,161,2,0,6,5,4,0,3,1,7,3,200,164,7,2,9,6,4,0,3,1
