FIPS,DeathAssault,DeathSuicide
19101,Suppressed,55
19103,30,213
19105,Suppressed,49
19107,Suppressed,28
19109,Suppressed,20
19111,Suppressed,104
19113,76,439
19115,Suppressed,29
19117,Suppressed,22
19119,Suppressed,14
19121,Suppressed,33
19123,Suppressed,40
19125,Suppressed,68
19127,14,72
19129,Suppressed,30
19131,Suppressed,13
19133,Suppressed,29
19135,Suppressed,23
19137,Suppressed,25
19139,17,92
19141,Suppressed,29
19143,Suppressed,20
19145,Suppressed,38
19147,Suppressed,21
19149,10,48
19151,Suppressed,25
19153,237,960
19155,68,242
19157,Suppressed,35
19159,Suppressed,19
19161,Suppressed,28
19163,93,398
19165,Suppressed,18
19167,Suppressed,29
19169,18,128
19171,Suppressed,40
19173,Suppressed,11
19175,Suppressed,49
19177,Suppressed,20
19179,22,89
19181,Suppressed,107
19183,Suppressed,42
19185,Suppressed,15
19187,18,94
19189,Suppressed,18
19191,Suppressed,32
19193,46,218
19195,Suppressed,19
19197,Suppressed,32
20001,Suppressed,40
20003,Suppressed,25
20005,Suppressed,40
20007,Suppressed,22
20009,19,82
20011,10,39
20013,Suppressed,28
20015,21,157
20017,Suppressed,Suppressed
20019,Suppressed,14
20021,Suppressed,65
20023,Suppressed,Suppressed
20025,Suppressed,Suppressed
20027,Suppressed,31
20029,Suppressed,16
20031,Suppressed,13
20033,Suppressed,Suppressed
20035,19,98
20037,30,106
20039,Suppressed,10
20041,Suppressed,43
20043,Suppressed,17
20045,40,230
20047,Suppressed,Suppressed
20049,Suppressed,Suppressed
20051,Suppressed,81
20053,Suppressed,12
20055,28,67
20057,33,67
20059,Suppressed,73
20061,33,99
20063,Suppressed,10
20065,Suppressed,Suppressed
20067,Suppressed,14
20069,Suppressed,18
20071,Suppressed,Suppressed
20073,Suppressed,24
20075,Suppressed,10
20077,Suppressed,16
20079,Suppressed,80
20081,Suppressed,10
20083,Suppressed,Suppressed
20085,11,26
20087,Suppressed,47
20089,Suppressed,Suppressed
20091,169,1149
20093,Suppressed,13
20095,Suppressed,13
20097,Suppressed,Suppressed
20099,17,58
20101,Suppressed,Suppressed
20103,42,203
20105,Suppressed,16
20107,Suppressed,30
20109,Suppressed,Suppressed
20111,22,84
20113,Suppressed,64
20115,Suppressed,36
20117,Suppressed,21
20119,Suppressed,Suppressed
20121,13,97
20123,Suppressed,21
20125,23,94
20127,Suppressed,12
20129,Suppressed,Suppressed
20131,Suppressed,30
20133,Suppressed,37
20135,Suppressed,Suppressed
20137,Suppressed,17
20139,11,42
20141,Suppressed,11
20143,Suppressed,17
20145,Suppressed,26
20147,Suppressed,16
20149,Suppressed,56
20151,Suppressed,37
20153,Suppressed,10
20155,25,162
20157,Suppressed,17
20159,Suppressed,30
20161,22,123
20163,Suppressed,11
20165,Suppressed,16
20167,Suppressed,28
20169,34,131
20171,Suppressed,10
20173,491,1181
20175,11,37
20177,256,518
20179,Suppressed,Suppressed
20181,Suppressed,20
20183,Suppressed,10
20185,Suppressed,15
20187,Suppressed,Suppressed
20189,Suppressed,15
20191,10,68
20193,Suppressed,22
20195,Suppressed,13
20197,Suppressed,26
20199,Suppressed,Suppressed
20201,Suppressed,Suppressed
20203,Suppressed,Suppressed
20205,11,27
20207,Suppressed,12
20209,574,430
21001,15,53
21003,11,55
21005,14,58
21007,Suppressed,32
21009,28,102
21011,Suppressed,40
21013,32,87
21015,46,217
21017,17,49
21019,29,117
21021,21,70
21023,Suppressed,26
21025,19,50
21027,Suppressed,69
21029,34,175
21031,15,27
21033,11,43
21035,23,95
21037,39,183
21039,Suppressed,28
21041,Suppressed,39
21043,39,74
21045,16,50
21047,99,194
21049,31,99
21051,44,56
21053,Suppressed,30
21055,Suppressed,33
21057,Suppressed,33
21059,42,295
21061,Suppressed,30
21063,Suppressed,19
21065,25,45
21067,297,607
21069,11,38
21071,38,137
21073,31,114
21075,Suppressed,28
21077,Suppressed,29
21079,Suppressed,31
21081,15,72
21083,32,123
21085,20,108
21087,Suppressed,30
21089,20,65
21091,Suppressed,27
21093,61,237
21095,28,75
21097,Suppressed,60
21099,15,53
21101,29,135
21103,10,51
21105,Suppressed,23
21107,30,142
21109,14,37
21111,1180,1854
21113,22,83
21115,19,58
21117,109,403
21119,18,36
21121,31,82
21123,12,33
21125,64,162
21127,17,38
21129,14,30
21131,20,25
21133,27,73
21135,13,34
21137,14,61
21139,Suppressed,31
21141,17,75
21143,Suppressed,25
21145,56,231
21147,22,49
21149,Suppressed,24
21151,47,168
21153,12,34
21155,13,56
21157,Suppressed,142
21159,17,22
21161,Suppressed,26
21163,23,84
21165,Suppressed,21
21167,14,83
21169,10,32
21171,15,36
21173,23,67
21175,11,30
21177,27,87
21179,28,115
21181,Suppressed,23
21183,16,63
21185,12,103
21187,Suppressed,30
21189,11,23
21191,Suppressed,51
21193,41,75
21195,64,167
21197,22,36
21199,38,172
21201,Suppressed,Suppressed
21203,14,42
21205,10,50
21207,17,49
21209,18,97
21211,23,72
21213,12,48
21215,Suppressed,43
21217,26,70
21219,Suppressed,25
21221,10,40
21223,Suppressed,34
21225,Suppressed,51
21227,64,263
21229,Suppressed,30
21231,13,49
21233,10,44
21235,41,109
21237,10,33
21239,16,69
22001,76,163
22003,19,48
22005,121,192
22007,23,43
22009,41,138
22011,32,76
22013,12,18
22015,132,259
22017,670,520
22019,250,527
22021,Suppressed,28
22023,Suppressed,14
22025,14,15
22027,23,38
22029,47,42
22031,35,52
22033,1296,718
22035,32,15
22037,33,32
22039,39,134
22041,27,35
22043,24,56
22045,97,158
22047,59,48
22049,Suppressed,23
22051,1112,1042
22053,60,61
22055,237,461
22057,90,234
22059,Suppressed,37
22061,43,66
22063,111,350
22065,29,29
22067,60,58
22069,67,79
22071,3180,716
22073,242,288
22075,23,38
22077,37,65
22079,225,286
22081,14,13
22083,19,40
22085,24,61
22087,62,113
22089,64,115
22091,17,29
22093,34,19
22095,148,84
22097,126,240
22099,66,133
22101,74,104
22103,169,582
22105,203,270
22107,Suppressed,Suppressed
22109,159,234
22111,15,48
22113,64,125
22115,53,113
22117,86,97
22119,46,114
22121,39,43
22123,13,24
22125,14,26
22127,21,22
23001,39,244
23003,21,195
23005,80,630
23007,10,73
23009,17,133
23011,34,308
23013,12,132
23015,12,102
23017,19,153
23019,56,385
23021,13,61
23023,Suppressed,89
23025,20,155
23027,14,118
23029,Suppressed,110
23031,59,529
24001,29,175
24003,354,992
24005,904,1458
24009,42,186
24011,18,66
24013,50,348
24015,67,248
24017,118,284
24019,31,74
24021,91,409
24023,13,64
24025,129,479
24027,124,377
24029,Suppressed,56
24031,427,1129
24033,2141,982
24035,19,99
24037,46,193
24039,17,32
24041,13,83
24043,74,333
24045,101,186
24047,23,113
24510,4118,943
25001,42,457
25003,35,251
25005,233,851
25007,Suppressed,28
25009,264,1040
25011,13,130
25013,362,752
25015,17,230
25017,322,1906
25019,Suppressed,21
25021,123,872
25023,221,759
25025,985,758
25027,239,1184
26001,Suppressed,51
26003,Suppressed,30
26005,36,230
26007,Suppressed,86
26009,Suppressed,64
26011,Suppressed,56
26013,Suppressed,25
26015,15,168
26017,46,272
26019,Suppressed,38
26021,111,340
26023,16,112
26025,133,354
26027,25,145
26029,Suppressed,71
26031,Suppressed,73
26033,10,105
26035,10,99
26037,15,127
26039,Suppressed,47
26041,Suppressed,95
26043,10,82
26045,39,242
26047,Suppressed,71
26049,909,899
26051,Suppressed,68
26053,Suppressed,63
26055,18,211
26057,Suppressed,70
26059,13,110
26061,Suppressed,76
26063,Suppressed,97
26065,201,524
26067,15,165
26069,Suppressed,87
26071,Suppressed,49
26073,12,109
26075,105,398
26077,164,538
26079,Suppressed,43
26081,342,1035
26083,Suppressed,Suppressed
26085,10,47
26087,28,214
26089,Suppressed,33
26091,32,198
26093,37,377
26095,Suppressed,16
26097,Suppressed,44
26099,519,1866
26101,Suppressed,85
26103,22,169
26105,12,89
26107,Suppressed,94
26109,Suppressed,60
26111,18,177
26113,Suppressed,36
26115,44,349
26117,27,158
26119,Suppressed,32
26121,113,367
26123,16,131
26125,763,2398
26127,11,66
26129,Suppressed,76
26131,Suppressed,26
26133,Suppressed,53
26135,11,38
26137,Suppressed,64
26139,53,380
26141,Suppressed,44
26143,Suppressed,87
26145,353,376
26147,60,415
26149,19,144
26151,12,102
26153,Suppressed,33
26155,15,186
26157,12,144
26159,37,189
26161,169,531
26163,7037,3591
26165,17,90
27001,10,43
27003,96,667
27005,Suppressed,85
27007,52,138
27009,11,77
27011,Suppressed,13
27013,14,133
27015,Suppressed,46
27017,Suppressed,97
27019,16,134
27021,26,74
27023,Suppressed,22
27025,Suppressed,111
27027,12,117
27029,Suppressed,21
27031,Suppressed,10
27033,Suppressed,23
27035,19,154
27037,93,700
27039,Suppressed,51
27041,Suppressed,62
27043,Suppressed,22
27045,Suppressed,34
27047,Suppressed,67
27049,10,104
27051,Suppressed,10
27053,890,2086
27055,Suppressed,33
27057,12,52
27059,Suppressed,85
27061,12,125
27063,Suppressed,26
27065,Suppressed,35
27067,11,77
27069,Suppressed,15
27071,Suppressed,37
27073,Suppressed,16
27075,Suppressed,38
27077,Suppressed,13
27079,10,62
27081,Suppressed,Suppressed
27083,Suppressed,50
27085,Suppressed,66
27087,Suppressed,13
27089,Suppressed,12
27091,Suppressed,45
27093,Suppressed,62
27095,Suppressed,58
27097,13,87
27099,Suppressed,84
27101,Suppressed,20
27103,Suppressed,66
27105,Suppressed,30
27107,Suppressed,11
27109,36,251
27111,14,162
27113,Suppressed,36
27115,Suppressed,79
27117,Suppressed,22
27119,13,79
27121,Suppressed,20
27123,343,949
27125,Suppressed,13
27127,Suppressed,47
27129,Suppressed,41
27131,14,121
27133,Suppressed,19
27135,Suppressed,35
27137,69,551
27139,23,203
27141,11,202
27143,Suppressed,29
27145,42,278
27147,Suppressed,62
27149,Suppressed,14
27151,Suppressed,14
27153,11,56
27155,Suppressed,Suppressed
27157,Suppressed,41
27159,Suppressed,35
27161,Suppressed,33
27163,46,380
27165,Suppressed,29
27167,Suppressed,11
27169,12,93
27171,22,227
27173,Suppressed,28
28001,69,77
28003,45,103
28005,31,24
28007,47,41
28009,14,21
28011,111,54
28013,15,33
28015,10,25
28017,25,26
28019,12,19
28021,34,14
28023,16,35
28025,24,47
28027,155,48
28029,55,59
28031,33,46
28033,120,342
28035,117,158
28037,12,28
28039,36,56
28041,16,22
28043,76,48
28045,55,159
28047,288,611
28049,945,403
28051,76,34
28053,38,Suppressed
28055,Suppressed,Suppressed
28057,21,68
28059,184,388
28061,37,39
28063,18,14
28065,53,27
28067,97,145
28069,17,24
28071,35,80
28073,42,106
28075,154,156
28077,21,30
28079,47,48
28081,87,150
28083,114,44
28085,57,70
28087,78,128
28089,154,185
28091,76,54
28093,68,73
28095,39,68
28097,25,26
28099,38,65
28101,36,60
28103,26,Suppressed
28105,44,66
28107,66,96
28109,50,147
28111,19,23
28113,88,83
28115,17,73
28117,22,69
28119,27,15
28121,106,322
28123,77,56
28125,13,14
28127,39,75
28129,24,43
28131,19,51
28133,79,57
28135,37,30
28137,34,70
28139,27,64
28141,10,68
28143,42,17
28145,20,70
28147,36,43
28149,104,127
28151,228,75
28153,48,40
28155,10,24
28157,34,17
28159,24,49
28161,30,40
28163,75,65
29001,Suppressed,62
29003,Suppressed,29
29005,Suppressed,10
29007,Suppressed,80
29009,26,89
29011,Suppressed,35
29013,10,47
29015,16,72
29017,Suppressed,30
29019,83,311
29021,66,238
29023,34,140
29025,Suppressed,27
29027,34,133
29029,23,123
29031,43,168
29033,Suppressed,30
29035,Suppressed,20
29037,61,262
29039,Suppressed,51
29041,Suppressed,11
29043,28,165
29045,Suppressed,20
29047,136,584
29049,13,67
29051,48,185
29053,Suppressed,47
29055,13,77
29057,Suppressed,22
29059,13,57
29061,Suppressed,25
29063,Suppressed,32
29065,17,44
29067,Suppressed,47
29069,31,97
29071,54,329
29073,Suppressed,39
29075,Suppressed,22
29077,169,727
29079,Suppressed,20
29081,Suppressed,26
29083,14,69
29085,Suppressed,32
29087,Suppressed,11
29089,Suppressed,24
29091,27,140
29093,10,34
29095,1945,1807
29097,82,340
29099,98,625
29101,20,117
29103,Suppressed,10
29105,28,96
29107,15,65
29109,16,99
29111,Suppressed,18
29113,31,151
29115,Suppressed,38
29117,Suppressed,35
29119,25,63
29121,Suppressed,57
29123,Suppressed,35
29125,Suppressed,29
29127,11,66
29129,Suppressed,14
29131,13,59
29133,22,29
29135,11,23
29137,Suppressed,21
29139,Suppressed,41
29141,14,51
29143,26,44
29145,41,147
29147,Suppressed,50
29149,Suppressed,34
29151,Suppressed,39
29153,11,34
29155,37,58
29157,14,47
29159,20,101
29161,26,107
29163,Suppressed,53
29165,57,197
29167,19,84
29169,53,109
29171,Suppressed,17
29173,Suppressed,28
29175,16,81
29177,Suppressed,81
29179,Suppressed,23
29181,11,39
29183,106,706
29185,Suppressed,28
29186,10,48
29187,42,173
29189,1400,2114
29195,13,45
29197,Suppressed,17
29199,Suppressed,14
29201,40,106
29203,Suppressed,11
29205,Suppressed,11
29207,10,75
29209,16,98
29211,Suppressed,21
29213,32,129
29215,30,67
29217,13,61
29219,25,89
29221,17,61
29223,13,51
29225,10,110
29227,Suppressed,Suppressed
29229,13,55
29510,1885,751
30001,Suppressed,43
30003,20,36
30005,Suppressed,29
30007,Suppressed,21
30009,Suppressed,35
30011,Suppressed,Suppressed
30013,61,314
